!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_PItex		36960	dimensionless	
equilibrium constant	R_CYTBDpp		2.1e+14	dimensionless	
equilibrium constant	R_CYTBD2pp		1e+35	dimensionless	
equilibrium constant	R_ACALDtpp		2.477	dimensionless	
equilibrium constant	R_ACt2rpp		195.8	dimensionless	
equilibrium constant	R_METS		298.7	dimensionless	
equilibrium constant	R_EX_glyc__R_e		1263	dimensionless	
equilibrium constant	R_FRUtex		4.87	dimensionless	
equilibrium constant	R_FUMtex		5.431	dimensionless	
equilibrium constant	R_PRASCSi		4.642e+15	dimensionless	
equilibrium constant	R_MTHFC		9.518	dimensionless	
equilibrium constant	R_MTHFD		0.08248	dimensionless	
equilibrium constant	R_XYLtex		0.0008164	dimensionless	
equilibrium constant	R_FORtppi		1.145	dimensionless	
equilibrium constant	R_PYRtex		2.466	dimensionless	
equilibrium constant	R_SO4tex		5.592	dimensionless	
equilibrium constant	R_SUCCtex		4164	dimensionless	
equilibrium constant	R_GRXR		14950	dimensionless	
equilibrium constant	R_RNDR1b		119.3	dimensionless	
equilibrium constant	R_RNDR2b		20.24	dimensionless	
equilibrium constant	R_MALt2_2pp		27.16	dimensionless	
equilibrium constant	R_NH4tpp		356.6	dimensionless	
equilibrium constant	R_NH4tex		351.9	dimensionless	
equilibrium constant	R_RIBabcpp		0.4134	dimensionless	
equilibrium constant	R_GLYCAt2rpp		0.09134	dimensionless	
equilibrium constant	R_GLYCAtex		0.2642	dimensionless	
equilibrium constant	R_GLYCtpp		14.28	dimensionless	
equilibrium constant	R_H2Otpp		1401	dimensionless	
equilibrium constant	R_GLNabcpp		567700	dimensionless	
equilibrium constant	R_CO2tex		26910000	dimensionless	
equilibrium constant	R_GLUt2rpp		699.2	dimensionless	
equilibrium constant	R_ACGK		5.033e-05	dimensionless	
equilibrium constant	R_GNK		36100	dimensionless	
equilibrium constant	R_GLUDy		0.0005257	dimensionless	
equilibrium constant	R_GLCNt2rpp		0.09174	dimensionless	
equilibrium constant	R_GLCptspp		6.114	dimensionless	
equilibrium constant	R_EX_h2o_e		1.24	dimensionless	
equilibrium constant	R_HSTPT		0.0236	dimensionless	
equilibrium constant	R_THDPS		0.0008067	dimensionless	
equilibrium constant	R_ATPM		2829000	dimensionless	
equilibrium constant	R_THRD_L		29790000	dimensionless	
equilibrium constant	R_ETOHtex		0.3668	dimensionless	
equilibrium constant	R_RNDR2		1.229e+09	dimensionless	
equilibrium constant	R_DHFR		2.118	dimensionless	
equilibrium constant	R_PRAIi		190300	dimensionless	
equilibrium constant	R_EX_mal__L_e		43.5	dimensionless	
equilibrium constant	R_TYRTA		0.5501	dimensionless	
equilibrium constant	R_SHKK		1.515e+08	dimensionless	
equilibrium constant	R_EX_so4_e		106.7	dimensionless	
equilibrium constant	R_GLUSy		37280	dimensionless	
equilibrium constant	R_OMCDC		42.64	dimensionless	
equilibrium constant	R_IG3PS		1.969e+08	dimensionless	
equilibrium constant	R_PDH		13890000	dimensionless	
equilibrium constant	R_MTHFR2		39.36	dimensionless	
equilibrium constant	R_EX_nh4_e		3.733	dimensionless	
equilibrium constant	R_DUTPDP		1.02e+10	dimensionless	
equilibrium constant	R_NTP5		2.605e+08	dimensionless	
equilibrium constant	R_FORt2pp		0.02094	dimensionless	
equilibrium constant	R_EX_etoh_e		968.2	dimensionless	
equilibrium constant	R_GLNS		144400	dimensionless	
