!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_GLNS		146900	dimensionless	R00253	
equilibrium constant	R_ACGS		6.219e+08	dimensionless	R00259	
equilibrium constant	R_SUCOAS		0.5922	dimensionless	R00405	
equilibrium constant	R_PRAIS		1132	dimensionless		
equilibrium constant	R_AACPS8		66790	dimensionless		
equilibrium constant	R_AACPS9		2658000	dimensionless		
equilibrium constant	R_AACPS6		185.9	dimensionless		
equilibrium constant	R_AACPS7		395100	dimensionless		
equilibrium constant	R_HISTP		708700	dimensionless	R03013	
equilibrium constant	R_LDH_D		0.24	dimensionless	R00704	
equilibrium constant	R_KAS15		4.767	dimensionless	R10707	
equilibrium constant	R_T2DECAI		1.392	dimensionless		
equilibrium constant	R_3OAS161		43.73	dimensionless		
equilibrium constant	R_DHQS		2.146e+21	dimensionless	R03083	
equilibrium constant	R_EAR161x		104.4	dimensionless		
equilibrium constant	R_PGCD		0.001817	dimensionless	R01513	
equilibrium constant	R_MALtex		22.02	dimensionless		
equilibrium constant	R_3OAS141		43.21	dimensionless		
equilibrium constant	R_3OAR121		469.2	dimensionless		
equilibrium constant	R_ADSL1r		1.388	dimensionless	R01083	
equilibrium constant	R_AICART		0.009779	dimensionless	R04560	
equilibrium constant	R_D_LACt2pp		0.4064	dimensionless		
equilibrium constant	R_RIBtex		32.89	dimensionless		
equilibrium constant	R_FRUpts2pp		3.639	dimensionless		
equilibrium constant	R_FORtex		15.2	dimensionless		
equilibrium constant	R_PFK		95300	dimensionless		
equilibrium constant	R_PGM		18.64	dimensionless	R01518	
equilibrium constant	R_CYTBO3_4pp		8.73e+13	dimensionless		
equilibrium constant	R_EAR141x		102.7	dimensionless		
equilibrium constant	R_EAR181x		383.5	dimensionless		
equilibrium constant	R_TPI		0.02335	dimensionless	R01015	
equilibrium constant	R_RPI		0.004936	dimensionless		
equilibrium constant	R_3OAR120		24.8	dimensionless	R04964	
equilibrium constant	R_3HAD80		0.9619	dimensionless	R04537	
equilibrium constant	R_3HAD120		0.9692	dimensionless	R04965	
equilibrium constant	R_EAR180x		332.2	dimensionless		
equilibrium constant	R_AKGtex		87.36	dimensionless		
equilibrium constant	R_SO4t2pp		0.02757	dimensionless		
equilibrium constant	R_EAR180y		17.27	dimensionless		
equilibrium constant	R_ACONTb		1.1	dimensionless	R01900	
equilibrium constant	R_3HAD161		0.9164	dimensionless		
equilibrium constant	R_SUCDi		1.677e+10	dimensionless		
equilibrium constant	R_ASNS1		5.988e+11	dimensionless	R00578	
equilibrium constant	R_EAR80y		19.68	dimensionless		
equilibrium constant	R_EAR120y		29.21	dimensionless		
equilibrium constant	R_3OAR181		1838	dimensionless		
equilibrium constant	R_3HAD121		0.915	dimensionless		
equilibrium constant	R_EX_o2_e		1.399e+09	dimensionless		
equilibrium constant	R_EAR140x		587.1	dimensionless		
equilibrium constant	R_3OAS181		91.39	dimensionless		
equilibrium constant	R_3OAS140		14.96	dimensionless		
equilibrium constant	R_3OAR140		22.99	dimensionless	R04566	
equilibrium constant	R_EAR160y		28.49	dimensionless		
equilibrium constant	R_3OAR160		24.78	dimensionless	R04543	
