!!SBtab TableID='ParameterEq' TableType='Quantity' TableName='ParameterEq' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
standard Gibbs energy of reaction		R_GLYCK2	kJ/mol	-10.88	0.71		R08572
standard Gibbs energy of reaction		R_ACOTA	kJ/mol	-3.22	3.37		R02283
standard Gibbs energy of reaction		R_SULR	kJ/mol	-109.7	4.69		R00858
standard Gibbs energy of reaction		R_PRAGSr	kJ/mol	-27.23	2.32		R04144
standard Gibbs energy of reaction		R_PRFGS	kJ/mol	29.22	48207.3		
standard Gibbs energy of reaction		R_PSERT	kJ/mol	-10.9	0.38		R04173
standard Gibbs energy of reaction		R_AIRC2	kJ/mol	-56.38	5.98		
standard Gibbs energy of reaction		R_GAPD	kJ/mol	1.16	0.41		R01061
standard Gibbs energy of reaction		R_GND	kJ/mol	10.31	3.18		R01528
standard Gibbs energy of reaction		R_G6PDH2r	kJ/mol	-6.82	1.32		R00835
standard Gibbs energy of reaction		R_ME2	kJ/mol	12.11	3.14		R00216
standard Gibbs energy of reaction		R_ARGSL	kJ/mol	-9.63	4.89		R01086
standard Gibbs energy of reaction		R_CBPS	kJ/mol	-15.04	2.65		R00575
standard Gibbs energy of reaction		R_GLU5K	kJ/mol	28.86	2.3		R00239
standard Gibbs energy of reaction		R_IPPS	kJ/mol	-26.48	1.35		R01213
standard Gibbs energy of reaction		R_PSP_L	kJ/mol	-10.37	0.28		R00582
standard Gibbs energy of reaction		R_ADSK	kJ/mol	-17.41	5.95		R00509
standard Gibbs energy of reaction		R_HSDy	kJ/mol	19.44	1.7		R01775
standard Gibbs energy of reaction		R_CYSTL	kJ/mol	0.53	2.71		R01286
standard Gibbs energy of reaction		R_SHSL1	kJ/mol	-64.51	5.57		R03260
standard Gibbs energy of reaction		R_THD2pp	kJ/mol	0.0	0.34		
standard Gibbs energy of reaction		R_TKT2	kJ/mol	-10.3	1.92		R01830
standard Gibbs energy of reaction		R_ATPS4rpp	kJ/mol	29.64	0.3		
standard Gibbs energy of reaction		R_GK1	kJ/mol	0.04	1.2		R00332
standard Gibbs energy of reaction		R_CYTBDpp	kJ/mol	-93.56	6.4		
standard Gibbs energy of reaction		R_CYTBD2pp	kJ/mol	-201.47	5.12		
standard Gibbs energy of reaction		R_METS	kJ/mol	0.15	5.08		R00946
standard Gibbs energy of reaction		R_PRASCSi	kJ/mol	-77.45	5.21		R04591
standard Gibbs energy of reaction		R_MTHFC	kJ/mol	-5.37	0.92		R01655
standard Gibbs energy of reaction		R_MTHFD	kJ/mol	6.54	1.14		R01220
standard Gibbs energy of reaction		R_ACGK	kJ/mol	24.67	3.08		R02649
standard Gibbs energy of reaction		R_GNK	kJ/mol	-12.5	3.21		R01737
standard Gibbs energy of reaction		R_GLUDy	kJ/mol	33.42	0.37		R00248
standard Gibbs energy of reaction		R_HSTPT	kJ/mol	8.83	2.93		R03243
standard Gibbs energy of reaction		R_THDPS	kJ/mol	26.02	5.2		R04365
standard Gibbs energy of reaction		R_ATPM	kJ/mol	-29.64	0.3		R00086
standard Gibbs energy of reaction		R_THRD_L	kJ/mol	-24.06	4.16		R00996
standard Gibbs energy of reaction		R_RNDR2	kJ/mol	-38.96	3.04		R02019
standard Gibbs energy of reaction		R_DHFR	kJ/mol	-18.82	2.39		R00939
standard Gibbs energy of reaction		R_PRAIi	kJ/mol	-9.79	1.35		R03509
standard Gibbs energy of reaction		R_TYRTA	kJ/mol	0.38	2.07		R00734
standard Gibbs energy of reaction		R_SHKK	kJ/mol	-26.22	2.84		R02412
standard Gibbs energy of reaction		R_GLUSy	kJ/mol	-47.76	0.94		R00114
standard Gibbs energy of reaction		R_OMCDC	kJ/mol	-13.96	4.33		R01652
standard Gibbs energy of reaction		R_IG3PS	kJ/mol	233.55	59929.54		R04558
standard Gibbs energy of reaction		R_PDH	kJ/mol	-34.23	3.22		R00209
standard Gibbs energy of reaction		R_MTHFR2	kJ/mol	-40.47	4.18		R07168
standard Gibbs energy of reaction		R_DUTPDP	kJ/mol	-42.16	2.56		R02100
standard Gibbs energy of reaction		R_NTP5	kJ/mol	-29.9	2.32		R00569
standard Gibbs energy of reaction		R_GLNS	kJ/mol	-15.3	0.83		R00253
standard Gibbs energy of reaction		R_ACGS	kJ/mol	-25.72	3.38		R00259
standard Gibbs energy of reaction		R_SUCOAS	kJ/mol	-1.21	1.33		R00405
standard Gibbs energy of reaction		R_PRAIS	kJ/mol	1.09	48207.3		
standard Gibbs energy of reaction		R_HISTP	kJ/mol	-20.29	2.18		R03013
standard Gibbs energy of reaction		R_LDH_D	kJ/mol	20.63	2.07		R00704
standard Gibbs energy of reaction		R_DHQS	kJ/mol	-150.33	6.26		R03083
standard Gibbs energy of reaction		R_PGCD	kJ/mol	30.84	0.56		R01513
