!!SBtab TableID='Gibbs_free_energy_constraints' TableType='Quantity' TableName='Gibbs_free_energy_constraints' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Reaction	!Unit	!Min	!Max	!Reaction:Identifiers:kegg.reaction
Gibbs free energy of reaction	R_ADSL1r	kJ/mol		-0.2479	R01083
Gibbs free energy of reaction	R_AICART	kJ/mol		-0.2479	R04560
Gibbs free energy of reaction	R_PFK	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_PGM	kJ/mol	0.2479		R01518
Gibbs free energy of reaction	R_CYTBO3_4pp	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_TPI	kJ/mol		-0.2479	R01015
Gibbs free energy of reaction	R_RPI	kJ/mol	0.2479		
Gibbs free energy of reaction	R_ACONTb	kJ/mol		-0.2479	R01900
Gibbs free energy of reaction	R_SUCDi	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_ASNS1	kJ/mol		-0.2479	R00578
Gibbs free energy of reaction	R_ACONTa	kJ/mol		-0.2479	R01325
Gibbs free energy of reaction	R_NADH16pp	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_VPAMTr	kJ/mol		-0.2479	R01215
Gibbs free energy of reaction	R_THD2pp	kJ/mol			
Gibbs free energy of reaction	R_GK1	kJ/mol		-0.2479	R00332
Gibbs free energy of reaction	R_CYTBD2pp	kJ/mol			
